Id,Price
4567,161727.65694598263
5925,120500.60940914131
960,164650.1856497266
3848,156584.047316814
746,183706.8421441653
868,334194.7657392979
672,120500.60940914131
2471,185395.21481696225
4510,143503.45682139834
8354,279986.0189889588
6393,175496.56885906874
13270,240880.4104214757
5250,334194.7657392979
16751,174747.19375068118
11404,120500.60940914131
10588,278491.3890996365
14925,237171.42469871373
6791,218490.55828495603
16097,183706.8421441653
16428,380373.63050079544
6945,358790.8245636766
3190,175482.26477153235
15709,380373.63050079544
13155,156584.047316814
7675,185395.21481696225
14686,218490.55828495603
609,185395.21481696225
11155,156584.047316814
10869,202835.07117069565
15742,200133.62546136597
9245,206734.91245703478
3340,202835.07117069565
2359,279986.0189889588
8070,185395.21481696225
13707,143503.45682139834
16079,254021.08856412728
15937,240880.4104214757
14090,183706.8421441653
9008,198041.97849984746
16384,156584.047316814
11657,275115.25035703887
13151,161727.65694598263
8990,164650.1856497266
11857,185395.21481696225
1565,175496.56885906874
8174,125677.97964515789
9247,275115.25035703887
10478,221360.06745814352
15509,156584.047316814
8306,234700.4334580457
6642,156584.047316814
7472,205957.83705230712
15989,140056.32051126726
13682,120500.60940914131
163,264295.3655975339
7076,178179.6026852313
7478,337491.5225997603
3029,183706.8421441653
1814,143503.45682139834
10057,120500.60940914131
15100,202835.07117069565
12694,221360.06745814352
6291,183706.8421441653
12603,221360.06745814352
3218,282840.9654355351
13456,120500.60940914131
10170,205957.83705230712
4530,175650.75092377074
13329,164650.1856497266
4820,183706.8421441653
10896,185395.21481696225
13416,120500.60940914131
2701,256714.90013525917
11265,334194.7657392979
9189,256714.90013525917
1858,161727.65694598263
14536,233512.3969231843
6199,324747.5705443315
14730,147842.19966310175
7510,237171.42469871373
15505,183706.8421441653
7446,161727.65694598263
14016,205957.83705230712
14113,120500.60940914131
8721,292888.7554470294
6193,324747.5705443315
5717,185395.21481696225
5427,256714.90013525917
9520,449695.00927812426
6869,120500.60940914131
1658,161727.65694598263
6639,213706.86191669045
6283,185395.21481696225
6257,120500.60940914131
15235,161727.65694598263
902,423352.92233577144
8932,183266.98150696163
16469,470562.2625687838
2825,213706.86191669045
6450,463424.1164701921
11366,183266.98150696163
3801,334194.7657392979
11385,183706.8421441653
1079,183706.8421441653
3202,237171.42469871373
676,237171.42469871373
6185,337491.5225997603
7730,183706.8421441653
2573,183266.98150696163
10978,206734.91245703478
10962,240880.4104214757
8870,161727.65694598263
8496,149652.00131908536
5517,161727.65694598263
927,183706.8421441653
13675,183706.8421441653
1499,221360.06745814352
15536,337491.5225997603
8602,380373.63050079544
12137,470562.2625687838
9865,256714.90013525917
16353,237171.42469871373
15908,205957.83705230712
3944,205957.83705230712
10359,185395.21481696225
15158,185395.21481696225
3259,279986.0189889588
7220,334194.7657392979
13843,203557.16670996376
16736,185395.21481696225
702,237171.42469871373
16401,483283.4880827685
12134,175482.26477153235
6918,213585.30273850085
11792,120500.60940914131
3798,234700.4334580457
10395,120500.60940914131
11099,161727.65694598263
7090,203557.16670996376
11260,185395.21481696225
9647,221360.06745814352
2903,470562.2625687838
2071,205957.83705230712
8604,203557.16670996376
9346,205957.83705230712
3945,185395.21481696225
3420,120500.60940914131
10842,120500.60940914131
725,156584.047316814
13931,185395.21481696225
16330,237171.42469871373
9066,380373.63050079544
3326,334194.7657392979
1556,256714.90013525917
6579,108137.42572219993
13877,156584.047316814
9857,334194.7657392979
7302,237171.42469871373
5684,161727.65694598263
6513,237171.42469871373
11342,120500.60940914131
16561,249166.16098281517
6885,205957.83705230712
9308,161727.65694598263
2559,202835.07117069565
6648,183706.8421441653
15260,161727.65694598263
5113,183706.8421441653
16492,183706.8421441653
12034,279986.0189889588
7248,203557.16670996376
2171,205957.83705230712
10594,156584.047316814
13241,183706.8421441653
7032,161727.65694598263
4884,183706.8421441653
903,175482.26477153235
162,183706.8421441653
6566,256714.90013525917
8249,120500.60940914131
13106,213706.86191669045
256,120500.60940914131
7976,164650.1856497266
8575,200133.62546136597
7591,302684.59408080886
3204,237171.42469871373
15804,185395.21481696225
1525,334194.7657392979
9038,206734.91245703478
13628,185395.21481696225
10016,185395.21481696225
10208,237171.42469871373
2008,185395.21481696225
13029,203557.16670996376
5099,120500.60940914131
9923,334194.7657392979
9461,120500.60940914131
11086,185395.21481696225
15057,302684.59408080886
10689,200133.62546136597
2053,213706.86191669045
16630,120500.60940914131
4985,164650.1856497266
13881,221360.06745814352
13225,183706.8421441653
5779,75014.7570223701
10262,183266.98150696163
10762,237171.42469871373
9513,183706.8421441653
11128,185395.21481696225
2074,256714.90013525917
933,183706.8421441653
2780,178179.6026852313
6594,108137.42572219993
15394,334194.7657392979
14863,147842.19966310175
6698,237171.42469871373
1611,256714.90013525917
174,185395.21481696225
5160,363043.2511218472
3295,302684.59408080886
4559,380373.63050079544
8254,198041.97849984746
10228,120500.60940914131
13924,149652.00131908536
15341,237171.42469871373
4353,156584.047316814
4334,75014.7570223701
1872,234700.4334580457
7823,161727.65694598263
